Partition ID,Original Accuracy,Original F1 Score,Pruned Accuracy,Pruned F1,DI,SPD,EOD,AOD,ERD,CNT,TI
1,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
1,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
1,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
2,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
3,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
1,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
2,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
3,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
4,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
5,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
6,0.6666666666666666,0.7727272727272727,1.0,1.0,1.0360360360360361,0.02820211515863691,-0.14583333333333337,0.1358745421245421,0.2585193889541716,[0.81],0.16025040198244203
